Designator,Mid X,Mid Y,Rotation,Layer
C1,118.237,-50.816,90.0,top
C2,129.667,-133.731,0.0,top
C3,107.696,-132.715,270.0,top
C4,174.0,-61.5,0.0,top
D1,181.737,-65.85,270.0,top
D2,188.722,-77.978,90.0,top
D3,165.481,-76.073,270.0,top
P1,177.8,-51.562,180.0,top
P2,186.487,-105.542,90.0,top
P3,186.436,-92.329,90.0,top
P4,186.487,-118.623,90.0,top
Q1,181.102,-80.01,270.0,top
R1,128.397,-125.349,90.0,top
R2,132.334,-125.476,90.0,top
R3,159.385,-76.454,90.0,top
R4,171.45,-77.597,270.0,top
R5,175.895,-77.597,270.0,top
R6,103.378,-120.904,0.0,top
R7,103.378,-125.349,180.0,top
SW2,188.595,-63.754,90.0,top
U1,161.8026,-133.9375,270.0,top
U10,118.11,-127.381,0.0,top
U2,143.383,-93.599,0.0,top
U3,173.863,-133.604,90.0,top
U4,145.161,-133.8755,90.0,top
U5,147.0685,-56.756,180.0,top
U6,99.06,-69.469,0.0,top
U7,178.2115,-111.902,180.0,top
U8,99.532,-102.921,0.0,top
U9,160.346,-94.505,0.0,top
